X,Y,comment_,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
143.920942235,-37.3710614989999,,1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,KINGSTON SATELLITE FIRE STATION (ALLENDALE) CFA,OPERATIONAL,,ALLENDALE,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.37106149899995,143.9209422350001,,,GAVIC425015218,3 ELIZABETH STREET,0,3364,ALLENDALE,7,-37.37100743999997,143.92089355000007
146.031554995,-36.2122130029999,,2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALMONDS FIRE STATION CFA,OPERATIONAL,,ALMONDS,VICTORIA,3727,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.21221300299993,146.03155499500008,,,GAVIC422203393,322 WILBY ROAD,0,3727,ALMONDS,27,-36.212438789999965,146.03165748000004
143.399832999,-37.182727998,,3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AMPHITHEATRE FIRE STATION CFA,OPERATIONAL,,AMPHITHEATRE,VICTORIA,3468,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.18272799799996,143.39983299900007,,AMPHITHEATRE FIRE STATION,GAVIC424872459,73 BAILEY STREET,1,3468,AMPHITHEATRE,9,-37.18269921999996,143.39974167000003
144.25442235,-37.91048563,,4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANAKIE FIRE STATION CFA,OPERATIONAL,,ANAKIE,VICTORIA,3213,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.91048562999998,144.25442235000003,,,GAVIC424349736,2166 BALLAN ROAD,1,3213,ANAKIE,17,-37.91061248999995,144.25452415000007
147.442025003,-37.0029209969999,,5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,OMEO SATELLITE FIRE STATION (ANGLERS REST) CFA,OPERATIONAL,,ANGLERS REST,VICTORIA,3898,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.00292099699993,147.44202500300003,,,GAVIC424612726,550 CALLAGHANS ROAD,0,3898,ANGLERS REST,1,-37.00291792999997,147.44201987000008
144.192204123,-38.403580748,,6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANGLESEA FIRE STATION CFA,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-38.40358074799997,144.192204123,,,GAVIC421730297,59 GREAT OCEAN ROAD,1,3230,ANGLESEA,23,-38.40376134999997,144.1920683400001
142.83365378,-34.854653421,,7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANNUELLO FIRE STATION CFA,OPERATIONAL,,ANNUELLO,VICTORIA,3549,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-34.854653420999966,142.83365378000008,,,GAVIC424762914,2994 ROBINVALE-SEA LAKE ROAD,0,3549,ANNUELLO,20,-34.854584949999946,142.83345098000007
145.859589,-36.589167002,,8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BADDAGINNIE FIRE STATION CFA,OPERATIONAL,,BADDAGINNIE,VICTORIA,3670,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-36.589167001999954,145.85958900000003,,BADDAGINNIE CFA,GAVIC414493933,62 PALMERSTON STREET,1,3670,BADDAGINNIE,4,-36.58918361999997,145.85955022000007
145.532303362,-37.679876769,,9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BADGER CREEK FIRE STATION CFA,OPERATIONAL,,BADGER CREEK,VICTORIA,3777,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.679876768999975,145.5323033620001,,BADGER CREEK FIRE BRIDAGE,GAVIC420601046,360 BADGER CREEK ROAD,1,3777,BADGER CREEK,8,-37.67985319999997,145.53238865000003
141.368890798,-37.6373605059999,,10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BAHGALLAH FIRE STATION CFA,OPERATIONAL,,BAHGALLAH,VICTORIA,3312,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/02/23 00:00:00+00,-37.637360505999936,141.36889079800005,,BAHGALLAH,GAVIC422031431,718 BAHGALLAH ROAD,1,3312,BAHGALLAH,55,-37.637147579999976,141.36944885000003
