X,Y,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,comment_,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
143.145872,-38.233234,1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CAMPERDOWN AMBULANCE STATION,OPERATIONAL,,CAMPERDOWN,VICTORIA,3260,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-38.233234,143.145872,,,GAVIC420554134,60 SCOTT STREET,2,3260,CAMPERDOWN,0,-38.23323338,143.1458726
149.151754,-37.563525,2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CANN RIVER AMBULANCE STATION,OPERATIONAL,,CANN RIVER,VICTORIA,3890,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.563525,149.151754,,BUSH NURSING CENTRE,GAVIC423889336,25 MONARO HIGHWAY,2,3890,CANN RIVER,5,-37.56350471,149.1518097
145.069878,-37.822558,3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CAMBERWELL AMBULANCE STATION,OPERATIONAL,,CANTERBURY,VICTORIA,3126,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.822558,145.069878,,,GAVIC421321456,61 CANTERBURY ROAD,1,3126,CANTERBURY,0,-37.822558,145.069877
144.885327,-38.361379,4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ROSEBUD AMBULANCE STATION,OPERATIONAL,,CAPEL SOUND,VICTORIA,3940,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-38.361379,144.885327,,,GAVIC719202653,1517 POINT NEPEAN ROAD,1,3940,CAPEL SOUND,0,-38.36137917,144.8853268
144.962134,-37.803882,5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CITY AMBULANCE STATION,OPERATIONAL,,CARLTON,VICTORIA,3053,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.803882,144.962134,,MFB STATION NO.3,GAVIC423441428,104-114 BOUVERIE STREET,1,3053,CARLTON,0,-37.8038817,144.9621337
145.056548,-37.885839,6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CARNEGIE AMBULANCE STATION,OPERATIONAL,,CARNEGIE,VICTORIA,3163,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.885839,145.056548,,,GAVIC424087785,SE 1 63-65 ROSSTOWN ROAD,1,3163,CARNEGIE,1,-37.88583773,145.0565578
141.392979,-37.591109,7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CASTERTON AMBULANCE STATION,OPERATIONAL,,CASTERTON,VICTORIA,3311,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.591109,141.392979,,,GAVIC411068997,59 RUSSELL STREET,2,3311,CASTERTON,0,-37.59110903,141.3929788
144.2206288,-37.05184776,8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,CASTLEMAINE AMBULANCE STATION,OPERATIONAL,,CASTLEMAINE,VICTORIA,3450,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.05184776,144.2206288,,,GAVIC419676558,6 HALFORD STREET,1,3450,CASTLEMAINE,5,-37.05187671,144.2206777
143.38266,-37.43062017,9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BEAUFORT AMBULANCE STATION,OPERATIONAL,,BEAUFORT,VICTORIA,3373,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-37.43062017,143.38266,,ELIZABETH WATKIN KINDERGARTEN,GAVIC414291887,25 HAVELOCK STREET,1,3373,BEAUFORT,0,-37.43062024,143.3826601
146.69027,-36.353512,10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BEECHWORTH AMBULANCE STATION,OPERATIONAL,,BEECHWORTH,VICTORIA,3747,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/06 00:00:00+00,,-36.353512,146.69027,,,GAVIC419740485,73 FINCH STREET,1,3747,BEECHWORTH,0,-36.3535121,146.6902703
