X,Y,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,comment_,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
144.9950087,-37.74461769,1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,PRESTON MFB,OPERATIONAL,,PRESTON,VICTORIA,3072,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.74461769,144.9950087,,,GAVIC420660529,471 BELL STREET,1,3072,PRESTON,0,-37.74461757,144.9950082
145.2390478,-37.8103717,2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,RINGWOOD MFB,OPERATIONAL,,RINGWOOD EAST,VICTORIA,3135,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.8103717,145.2390478,,,GAVIC420535858,270-274 MAROONDAH HIGHWAY,2,3134,RINGWOOD,0,-37.81037145,145.2390476
144.9602021,-37.82701755,3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,SOUTH MELBOURNE MFB,OPERATIONAL,,SOUTHBANK,VICTORIA,3006,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.82701755,144.9602021,,MFB STATION NO.38,GAVIC419831406,26-40 MORAY STREET,1,3006,SOUTHBANK,0,-37.82701755,144.9602021
144.8140662,-37.72974451,4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,ST. ALBANS MFB,OPERATIONAL,,ST ALBANS,VICTORIA,3021,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.72974451,144.8140662,,,GAVIC421710136,5-9 TAYLORS ROAD,1,3021,ST ALBANS,0,-37.72974459,144.8140663
144.8293881,-37.77465424,5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,SUNSHINE MFB,OPERATIONAL,,SUNSHINE NORTH,VICTORIA,3020,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.77465424,144.8293881,,,GAVIC412791314,30-32 MCINTYRE ROAD,1,3020,SUNSHINE NORTH,0,-37.77465425,144.8293878
144.8176146,-37.81598096,6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,NORTH LAVERTON MFB,OPERATIONAL,,SUNSHINE WEST,VICTORIA,3020,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.81598096,144.8176146,,,GAVIC424060097,88 BOUNDARY ROAD,1,3020,SUNSHINE WEST,0,-37.8159808,144.8176149
144.775141,-37.695719,7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,TAYLORS LAKES MFB,OPERATIONAL,,TAYLORS LAKES,VICTORIA,3038,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.695719,144.775141,,,GAVIC421136372,470 MELTON HIGHWAY,1,3038,TAYLORS LAKES,0,-37.695719,144.77514
145.1338441,-37.76239768,8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,TEMPLESTOWE MFB,OPERATIONAL,,TEMPLESTOWE,VICTORIA,3106,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.76239768,145.1338441,,,GAVIC420007791,40-42 SERPELLS ROAD,2,3106,TEMPLESTOWE,0,-37.762397,145.133844
145.1644761,-37.90358134,9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,GLEN WAVERLEY MFB,OPERATIONAL,,GLEN WAVERLEY,VICTORIA,3150,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.90358134,145.1644761,,,GAVIC413595802,645 FERNTREE GULLY ROAD,0,3150,GLEN WAVERLEY,0,-37.90358128,145.1644759
145.0986863,-37.70431988,10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,GREENSBOROUGH MFB,OPERATIONAL,,GREENSBOROUGH,VICTORIA,3088,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/06/20 00:00:00+00,,-37.70431988,145.0986863,,,GAVIC423383247,141 GRIMSHAW STREET,0,3088,GREENSBOROUGH,0,-37.70432,145.098686
