X,Y,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,comment_,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
141.7987545,-37.85841915,1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRANXHOLME POLICE STATION,OPERATIONAL,,BRANXHOLME,VICTORIA,3302,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.85841915,141.7987545,,,GAVIC424585730,87-89 MONROE STREET,1,3302,BRANXHOLME,0,-37.85841915,141.7987545
147.069628,-37.84343327,2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIAGOLONG POLICE STATION,OPERATIONAL,,BRIAGOLONG,VICTORIA,3860,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.84343327,147.069628,,,GAVIC425609063,19-21 AVON STREET,0,3860,BRIAGOLONG,0,-37.84343327,147.069628
143.9400086,-36.60170372,3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIDGEWATER POLICE STATION,OPERATIONAL,,BRIDGEWATER ON LODDON,VICTORIA,3516,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.60170372,143.9400086,,,GAVIC720579618,38 PARK STREET,1,3516,BRIDGEWATER ON LODDON,0,-36.60170372,143.9400086
146.9620495,-36.73179425,4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIGHT POLICE STATION,OPERATIONAL,,BRIGHT,VICTORIA,3741,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.73179425,146.9620495,,,GAVIC420915118,7 PARK STREET,0,3741,BRIGHT,0,-36.73179425,146.9620495
145.0554234,-37.20340463,5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BROADFORD POLICE STATION,OPERATIONAL,,BROADFORD,VICTORIA,3658,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.20340463,145.0554234,,,GAVIC421814544,156 HIGH STREET,2,3658,BROADFORD,3,-37.2034277,145.0554097
144.9168746,-37.683223,6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BROADMEADOWS POLICE STATION,OPERATIONAL,,BROADMEADOWS,VICTORIA,3047,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.683223,144.9168746,,,GAVIC421873736,15 DIMBOOLA ROAD,2,3047,BROADMEADOWS,0,-37.683223,144.916874
144.9630686,-37.76281274,7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRUNSWICK POLICE STATION,OPERATIONAL,,BRUNSWICK,VICTORIA,3056,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.76281274,144.9630686,,,GAVIC420419088,630 SYDNEY ROAD,1,3056,BRUNSWICK,0,-37.762812,144.963068
147.8311191,-37.70751283,8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRUTHEN POLICE STATION,OPERATIONAL,,BRUTHEN,VICTORIA,3885,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.70751283,147.8311191,,BRUTHEN POLICE STATION,GAVIC410995573,45 MAIN STREET,2,3885,BRUTHEN,0,-37.70751283,147.8311191
144.168415,-38.04993326,9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BANNOCKBURN POLICE STATION,OPERATIONAL,,BANNOCKBURN,VICTORIA,3331,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.04993326,144.168415,,,GAVIC423706438,51 HIGH STREET,1,3331,BANNOCKBURN,0,-38.04993325,144.168415
143.3810581,-37.43148457,10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEAUFORT POLICE STATION,OPERATIONAL,,BEAUFORT,VICTORIA,3373,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.43148457,143.3810581,,,GAVIC420901772,11 LIVINGSTONE STREET,1,3373,BEAUFORT,0,-37.43148457,143.3810581
143.6400596,-38.19530616,11,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEEAC POLICE STATION,OPERATIONAL,,BEEAC,VICTORIA,3251,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.19530616,143.6400596,,,GAVIC424746874,6 COULSTON STREET,2,3251,BEEAC,0,-38.19530616,143.6400596
146.6888702,-36.3583719,12,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEECHWORTH POLICE STATION,OPERATIONAL,,BEECHWORTH,VICTORIA,3747,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.3583719,146.6888702,,,GAVIC420258032,102 FORD STREET,2,3747,BEECHWORTH,0,-36.3583719,146.6888702
145.3546177,-37.90808937,13,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BELGRAVE POLICE STATION,OPERATIONAL,,BELGRAVE,VICTORIA,3160,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.90808937,145.3546177,,,GAVIC410844880,2 ENA ROAD,2,3160,BELGRAVE,0,-37.90808936,145.3546177
145.975298,-36.55560359,14,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENALLA POLICE STATION,OPERATIONAL,,BENALLA,VICTORIA,3672,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.55560359,145.975298,,,GAVIC423935362,17 BRIDGE STREET,0,3672,BENALLA,36,-36.5555183,145.9756801
144.2669894,-36.76698964,15,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENDIGO POLICE STATION,OPERATIONAL,,BENDIGO,VICTORIA,3550,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.76698964,144.2669894,,,GAVIC410877954,221 CALDER HIGHWAY,0,3550,BENDIGO,0,-36.76698964,144.2669894
148.8849125,-37.14707242,16,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BENDOC POLICE STATION,OPERATIONAL,,BENDOC,VICTORIA,3888,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.14707241,148.8849125,,,GAVIC424489800,24 DOWLING STREET,1,3888,BENDOC,8,-37.14701131,148.8848571
147.0993258,-36.12547928,17,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BETHANGA POLICE STATION,OPERATIONAL,,BETHANGA,VICTORIA,3691,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.12547928,147.0993258,,,GAVIC422128362,1 BETHANGA BAY ROAD,2,3691,BETHANGA,19,-36.1256243,147.0992089
142.4194994,-35.94324016,18,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEULAH POLICE STATION,OPERATIONAL,,BEULAH,VICTORIA,3395,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-35.94324016,142.4194994,,,GAVIC424033555,21-23 PHILLIPS STREET,1,3395,BEULAH,36,-35.94299241,142.4192507
142.9173223,-35.97980015,19,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BIRCHIP POLICE STATION,OPERATIONAL,,BIRCHIP,VICTORIA,3483,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-35.97980014,142.9173223,,,GAVIC424444389,95 CUMMING AVENUE,2,3483,BIRCHIP,33,-35.97984721,142.9176823
143.782711,-38.33629848,20,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BIRREGURRA POLICE STATION,OPERATIONAL,,BIRREGURRA,VICTORIA,3242,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.33629848,143.782711,,,GAVIC420127116,89 MAIN STREET,2,3242,BIRREGURRA,0,-38.33629848,143.782711
146.2723207,-38.38044265,21,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOOLARRA POLICE STATION,OPERATIONAL,,BOOLARRA,VICTORIA,3870,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.38044265,146.2723207,,,GAVIC419961696,29 TARWIN STREET,1,3870,BOOLARRA,0,-38.38044265,146.2723207
143.7234092,-36.11606286,22,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOORT POLICE STATION,OPERATIONAL,,BOORT,VICTORIA,3537,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.11606286,143.7234092,,,GAVIC425690072,4 STATION STREET,0,3537,BOORT,0,-36.11606286,143.7234092
145.2854877,-37.85993456,23,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BORONIA POLICE STATION,OPERATIONAL,,BORONIA,VICTORIA,3155,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.85993456,145.2854877,,,GAVIC413637352,259 DORSET ROAD,1,3155,BORONIA,0,-37.85993455,145.2854877
145.1272983,-37.81808498,24,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BOX HILL POLICE STATION,OPERATIONAL,,BOX HILL,VICTORIA,3128,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.81808498,145.1272983,,,GAVIC413396565,1 KANGERONG ROAD,2,3128,BOX HILL,68,-37.81747666,145.1274248
144.9935679,-37.80404328,25,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,COLLINGWOOD POLICE STATION,OPERATIONAL,,ABBOTSFORD,VICTORIA,3067,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.80404328,144.9935679,,,GAVIC413094178,4 EDDY COURT,1,3067,ABBOTSFORD,0,-37.80404328,144.9935679
145.7077709,-37.18863456,26,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALEXANDRA POLICE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.18863456,145.7077709,,,GAVIC424537965,33 GRANT STREET,1,3714,ALEXANDRA,0,-37.18863455,145.7077709
